번호,DAY,단어,원문 단어,한자,한자 뜻풀이,출처,품사,뜻
0691,DAY 24,고귀하다,고귀하다02,高貴,"하다, 높을, 고, 귀할, 귀",2002수능,형용사,"(1) 훌륭하고 귀중하다.
¶ 고귀한 문화재 / 호국 영령들의 고귀한 희생 정신을 기리다.
(2) 지체가 높고 귀하다.
¶ 고귀한 신분 / 성품이 고귀하다. / 그는 고귀한 가문에서 태어났다.
(3) 물건 따위가 귀하고 값이 비싸다.
¶ 고귀한 물건일수록 사람들에게 잘 알려져 있지 않다."
0692,DAY 24,역량,역량01,力量,"힘 력, 헤아릴 량",2002수능,명사,"어떤 일을 해낼 수 있는 힘.
¶ 역량 있는 지도자 / 역량을 기르다. / 역량을 발휘하다. / 그는 한 부서를 책임
지기에는 역량이 부족하다. / 당수라고 하면 인간으로서의 위신을 충분히 지키
며 투쟁을 일관할 수 있는 역량을 가진 사람이라야 한다. ≪이병주, 지리산≫"
0693,DAY 24,전개,전개02,展開,"펼 전, 열 개",2002수능,명사,"(1) 열리어 나타남.
(2) 시작하여 벌임.
(3) 내용을 진전시켜 펴 나감.
(4) 책이나 종이 따위를 열어서 펴거나 널찍하게 폄. ‘펼침’으로 순화.
(5) {군사} 모여 있던 부대가 작전을 펼치기 위하여, 가로 또는 세로로 확장·배치됨. 보통
밀집 대형에서 전투 대형으로 산개함으로써 부대 정면을 확대하는 것을 이른다.
(6) {음악} 작곡에서, 주제를 분석하고 발전시켜 여러 각도에서 자유로이 변화시키는 일."
0694,DAY 24,계승,계승02,繼承,"이을 계, 이을 승",2002수능,명사,"(1) 조상의 전통이나 문화유산, 업적 따위를 물려받아 이어 나감. ≒ 수계10(受繼).
¶ 전통문화의 계승과 발전
(2) 선임자의 뒤를 이어받음. ≒ 승계
02(承繼)(1)·승사
04(承嗣).
¶ 여러 외척 간에 왕위 계승을 둘러싼 권력 싸움이 벌어졌다."
0695,DAY 24,성과,성과01,成果,"이을 성, 실과 과",2002수능,명사,"이루어 낸 결실. ‘보람’으로 순화.
¶ 성과를 얻다. / 기대 이상의 성과를 올리다. / 이번 협상은 별다른 성과 없이 끝
났다. / 지금까지의 성과에 만족하지 않고 더 열심히 노력하겠다. / 한 주일이
지나도, 두 주일이 지나도 달수의 취직 행각은 역시 아무런 성과를 거두지 못
하는 것이었다.≪손창섭, 혈서≫"
0696,DAY 24,정체성,정체성01,正體性,"바를, 정, 몸 체, 성품, 성",2002수능,명사,"변하지 아니하는 존재의 본질을 깨닫는 성질. 또는 그 성질을 가진 독립적 존재. ≒ 아이덴
티티(1).
¶ 청소년기는 자신의 정체성을 확립하는 시기이다. / 한민족의 참된 정체성, 자존
그리고 자연을 짓밟아 말살하는 일본 제국주의 침략 정책과 교육에 대하여 거
부·저항하는…. ≪최명희, 혼불≫"
0697,DAY 24,구실,구실01,,,2002수능,명사,"자기가 마땅히 해야 할 맡은 바 책임.
¶ 사람 구실 / 아비 구실 / 제 구실을 다하다. / 그 아이는 여태껏 말썽만 피우더
니 이제야 사람 구실을 한답니다."
0698,DAY 24,신명,신명01,,,2002수능,명사,"흥겨운 신이나 멋.
¶ 신명이 나다. / 신명을 내다. / 신명을 떨다. / 수용자들은 신명도 나지 않아 억
지 춘향이 격으로 오락회를 하다가 다시 방으로 비실비실 몰려 들어가곤 했다.
≪황석영, 어둠의 자식들≫"
0699,DAY 24,모범,모범02,模範,"본뜰 모, 법 범",2002수능,명사,"본받아 배울 만한 대상. ≒ 모표
02(模表)·모해
01(模楷)·형범(刑範).
¶ 모범 학급 / 모범 답안지 / 모범을 보이다. / 모범으로 삼다. / 타의 모범이 되
다. / 부모는 자식에게 모범이 되어야 한다."
0700,DAY 24,논의,논의02,論議,"논할 론, 의논할 의",2002수능,명사,"어떤 문제에 대하여 서로 의견을 내어 토의함. 또는 그런 토의.
¶ 논의의 내용 / 심각한 논의 / 논의가 활발하다 / 논의의 여지가 많다. / 통일을
위한 논의가 한창 진행 중이다."
0701,DAY 24,검토,검토,檢討,"검사할 검, 칠 토",2002수능,명사,"어떤 사실이나 내용을 분석하여 따짐.
¶ 면밀한 검토 후에 결론을 내리자. / 이 문제는 많은 검토가 필요하다. / 검토가
끝나는 대로 결과를 발표할 예정이다. / 국회는 법안의 검토에 들어갔다. / 외
삼촌의 우익 활동이나 그 후의 장교 후보생 자원은 움직일 수 없는 주의 주장
밑에 치밀한 계산과 검토를 거쳐 이루어진 결과였다. ≪윤흥길, 장마≫"
0702,DAY 24,가급적,가급적,可及的,"옳을 가, 미칠 급, 어조사 적",2002수능,"Ⅰ, , 명사","(주로 ‘가급적이면’, ‘가급적으로’ 꼴로 쓰여) 할 수 있는 것. 또는 형편이 닿는 것.
¶ 가급적이면 빨리 가도록 해라. / 가급적이면 오는 게 좋을 것 같다. / 예산은 가
급적으로 적게 편성해라.
[Ⅱ] [부사]
할 수 있는 대로. 또는 형편이 닿는 대로.
¶ 가급적 빠른 시일 안에 일을 끝내도록 해라. / 가급적 많이 도와주시기 바랍니
다."
0703,DAY 24,용인,용인03,容認,"얼굴 용, 알 인",2002수능,명사,용납하여 인정함.
0704,DAY 24,정교하다,정교하다02,精巧,"하다, 정할, 정, 공교할, 교",2002수능,형용사,"(1) 솜씨나 기술 따위가 정밀하고 교묘하다.
¶ 정교하게 그리다. / 정교하게 만들다. / 보석을 정교하게 가공하다. / 나무에 칼
질을 하여 만든다 해도 이렇게 정교하게 깎고 다듬어 새길 수가 없을 듯싶었
다. ≪문순태, 피아골≫
(2) 내용이나 구성 따위가 정확하고 치밀하다.
¶ 생각이 정교하다. / 문장을 정교하게 다듬다. / 인간의 신체는 복잡하고 정교한
구조로 되어 있다."
0705,DAY 24,착실하다,착실하다,着實,"하다, 붙을, 착, 열매, 실",2002수능,형용사,"(1) 사람이 허튼 데가 없이 찬찬하며 실하다.
¶ 착실한 학생 / 착실하게 공부하다. / 그는 월급을 받는 대로 착실하게 저축했다.
/ 그 불량배는 겉보기에는 착실해 보였다.
(2) 일정한 기준이나 정도에 모자람이 없이 넉넉하다.
¶ 지금까지 온 거리가 20km는 착실하게 될 것이다."
0706,DAY 24,변수,변수06,變數,"변할 변, 셈 수",2002수능,명사,"(1) 어떤 상황의 가변적 요인.
¶ 투표 결과가 이번 협상에서 중요한 변수가 될 것이다. / 여론이 정책 결정에 변
수로 등장하였다.
(2) {수학} 어떤 관계나 범위 안에서 여러 가지 값으로 변할 수 있는 수. ≒ 부정원."
0707,DAY 24,반박,반박01,反駁,돌이킬 반논박할 반,2002수능,명사,"어떤 의견, 주장, 논설 따위에 반대하여 말함.
¶ 반박 성명 / 반박 논설 / 반박의 여지가 없는 완벽한 논리 / 그렇게 사사건건
반박만 하지 말고 건설적인 대안을 제시하시오. / 그 제안에 대해서는 아무런
반박이 없었다."
0708,DAY 24,엄연히,엄연히01,儼然,"히, 엄연할, 엄, 그럴, 연",2002수능,부사,"(1) 사람의 겉모양이나 언행이 의젓하고 점잖게.
¶ 왜장 한 명이 문루 정면을 바라보니 남문을 지키고 엄연히 걸터앉아 있는 사람
은 동래 부사 송상현이었다. ≪박종화, 임진왜란≫
(2) 어떠한 사실이나 현상이 부인할 수 없을 만큼 뚜렷하게.
¶ 어떠한 조직이든 엄연히 위계질서가 있는 법이다. / 비록 아버지의 피를 나눠
가졌다고는 하지만 엄연히 다른 배에서 났는데도 두 사람은 완전히 쌍둥이처럼
닮아 있었다. ≪최인호, 지구인≫"
0709,DAY 24,용례,용례,用例,"쓸 용, 법식 례",2002수능,명사,"쓰고 있는 예. 또는 용법의 보기.
¶ 용례의 색인 / 아래의 용례를 보고 문제를 풀어라. / 용례를 보여 주면 단어의
뜻을 더 정확히 알 수 있다."
0710,DAY 24,개가,개가03,凱歌,"개선할 개, 노래 가",2002수능,명사,"(1) 싸움에서 이기고 돌아올 때에 부르는 노래.
(2) 이기거나 큰 성과가 있을 때의 환성. ≒ 개선가(2).
¶ 이순신은 오랑캐를 묶은 채 군사들을 휘동하여 개가를 높이 부르면서 북병사가
있는 병영으로 들어갔다. ≪박종화, 임진왜란≫ / 간신히 화초밭 새에 숨어 쌔
근거리는 새를 덥석 뒤집어씌워서 잡고 말았다. 아이들의 입에서는 ‘으아’ 하고
개가가 올랐다. ≪염상섭, 십자매≫"
0711,DAY 24,난제,난제,難題,"어려울 난, 표제 제",2002수능,명사,"해결하기 어려운 일이나 사건. ≒ 난문
04(難問)(2)"
0712,DAY 24,활용,활용,活用,"살 활, 쓸 용",2002수능,명사,"(1) 충분히 잘 이용함.
¶ 컴퓨터의 보급으로 문서 작성에서 타자기의 활용 가치는 떨어졌다.
(2) {언어} 용언의 어간이나 서술격 조사에 변하는 말이 붙어 문장의 성격을 바꿈. 또는 그
런 일. 국어에서는 동사, 형용사, 서술격 조사의 어간에 여러 가지 어미가 붙는
형태를 이르는데, 이로써 시제·서법 따위를 나타낸다. ≒ 끝바꿈·씨끝바꿈·어미
변화."
0713,DAY 24,견해,견해02,見解,"볼 견, 풀 해",2002수능,명사,"사물이나 현상에 대한 자기의 의견이나 생각.
¶ 견해 차이 / 견해가 엇갈리다. / 견해를 내놓다. / 견해를 밝히다. / 견해를 피
력하다. / 그와 나는 견해를 달리한다. / 이번에는 그가 양보해야 한다는 견해
가 우세하다. / 나는 사랑의 최대 조건으로서 오해가 없어야 한다고 생각하고
있었는데 그 견해가 얄팍하다는 걸 깨달았다. ≪이병주, 행복어 사전≫"
0714,DAY 24,불가피하다,불가피하다,,,2002수능,형용사,"피할 수 없다.
¶ 정치의 개혁이 불가피하다. / 정부의 개방화 조치로 우리의 농산물과 외국의 농
산물 경쟁이 불가피하다."
0715,DAY 24,명제,명제02,命題,"목숨 명, 제목 제",2002수능,명사,"(1) 시문 따위의 글에 제목을 정함. 또는 그 제목.
(2) {논리} 어떤 문제에 대한 하나의 논리적 판단 내용과 주장을 언어 또는 기호로 표시한
것. 참과 거짓을 판단할 수 있는 내용이라는 점이 특징이다. 이를테면, ‘고래는
포유류이다.’ 따위이다."
0716,DAY 24,추론,추론02,推論,"밀 추, 논할 론",2002수능,명사,"(1) 미루어 생각하여 논함.
¶ 추론은 사실에 근거해야 한다. / 확실한 증거가 없이 추론에 의해서만 결론을
내리는 것은 위험하다.
(2) {논리} 어떠한 판단을 근거로 삼아 다른 판단을 이끌어 냄. ≒ 추리
04(推理)(2)."
0717,DAY 24,견실,견실03,堅實,"굳을 견, 열매 실",2002수능,명사,생각이나 태도 따위가 믿음직스럽게 굳고 착실함.
0718,DAY 24,점검,점검,點檢,"점 점, 검사할 검",2002수능,명사,"낱낱이 검사함. 또는 그런 검사. ≒ 검점(檢點)·반점
06(盤點).
¶ 시설 점검 / 장비 점검 / 우리는 인원 점검이 끝나자 곧바로 출발했다."
0719,DAY 24,분석,분석02,分析,"나눌 분, 쪼갤 석",2002수능,명사,"(1) 얽혀 있거나 복잡한 것을 풀어서 개별적인 요소나 성질로 나눔.
¶ 심리 분석 / 원인 분석 / 자료의 분석을 마쳤다.
(2) {논리} 개념이나 문장을 보다 단순한 개념이나 문장으로 나누어 그 의미를 명료하게 함.
(3) {철학} 복잡한 현상이나 대상 또는 개념을, 그것을 구성하는 단순한 요소로 분해하는
일.
(4) {화학} 물질의 성분, 즉 물질에 포함되어 있는 화합물, 단체, 원자, 분자의 조성과 함량
따위를 물리·화학적 방법을 써서 알아내는 일. 또는 그런 조작. 일반적으로 정량
분석과 정성 분석으로 크게 나눈다."
0720,DAY 24,증명,증명,證明,"증거 증, 밝을 명",2002수능,명사,"(1) 어떤 사항이나 판단 따위에 대하여 그것이 진실인지 아닌지 증거를 들어서 밝힘.
(2) 어떤 사실을 증명하는 문서.
(3) {논리} 어떤 명제나 판단 또는 진위를 정하는 근거를 표시함. 또는 그런 일. 어떤 명제
나 판단의 참과 거짓을 근본 원리나 공리로부터 바른 추론에 의하여 밝혀낸다.
(4) {수학} 어떤 정리나 공리로부터 추론에 의하여 다른 명제의 옳고 그름을 밝힘. 또는 그
런 일."
0721,DAY 25,확산,확산,擴散,"넓힐 확, 흩을 산",2002수능,명사,"흩어져 널리 퍼짐.
¶ 전염병의 확산을 막다."
0722,DAY 25,참신하다,참신하다02,斬新嶄新,"하다 벨 참, 새 신 하다, 가파를 참, 새 신",2002수능,형용사,"새롭고 산뜻하다.
¶ 참신한 디자인 / 참신한 생각 / 참신한 인물 / 대학 졸업 작품전에 출품한 그림
중에는 젊은이다운 기발함과 참신함이 돋보이는 작품이 많이 있었다."
0723,DAY 25,제안,제안02,提案,"끌 제, 책상 안",2002수능,명사,"안이나 의견으로 내놓음. 또는 그 안이나 의견.
¶ 시민의 제안 / 제안을 받아들이다. / 함께 일을 해 보자는 제안에 응하기로 했
다. / 각하, 만약 청국 정부에서 우리의 제안에 찬동하지 않으면 우리는 독력으
로써 조선 정부로 하여금 전술한 개혁을 단행하도록 나서야 합니다. ≪유주현,
대한 제국≫ / 순수한 학문적 목적만으로 독서회를 하자는 제안에 반대하는 학
생은 하나도 없었다. ≪이병주, 지리산≫"
0724,DAY 25,내포,내포02,內包,"안 내, 쌀 포",2002수능,명사,"(1) 어떤 성질이나 뜻 따위를 속에 품음.
(2) {논리} 개념이 적용되는 범위에 속하는 여러 사물이 공통으로 지니는 필연적 성질의 전
체. 형식 논리학상으로는 이것과 외연은 반대 방향으로 증가 혹은 감소한다."
0725,DAY 25,계열,계열,系列,"맬 계, 벌일 열",2002수능,명사,"(1) 서로 관련이 있거나 유사한 점이 있어서 한 갈래로 이어지는 계통이나 조직.
¶ 인문 계열 / 염상섭의 소설은 사실주의 계열의 작품이다.
(2) {경제} 기업의 결합 형태의 하나. 생산, 판매, 자본, 기술, 중역 파견 따위에 따라 대기
업 상호 간 또는 대기업과 중소기업 간에 볼 수 있는 기업 결합이다.
¶ 계열 산업."
0726,DAY 25,생소하다,생소하다,生疏,"하다, 날, 생, 생소할, 소",2002수능,형용사,"(1) 【…이】 어떤 대상이 친숙하지 못하고 낯이 설다.
¶ 길이 생소하여 어디가 어딘지 알 수가 없었다. ≪김구, 백범일지≫
(2) 익숙하지 못하고 서투르다.
¶ 가지각색의 일반 서무적인 잡무 등 그러나 일에 생소하고 서투른 나에게는 이렇
게 쭈르르 세어 내려가면 별로 신통치도 않아 보이는…. ≪김남천, 등불≫"
0727,DAY 25,유래,유래02,由來,"말미암을, 유, 올 래",2002수능,명사,"사물이나 일이 생겨남. 또는 그 사물이나 일이 생겨난 바. ≒ 내유
03(來由)·인의
06(因依).
¶ 한식의 유래 / 유래가 깊다. / 유래를 찾기 힘들다. / 이 민속 행사의 유래는
신라 때로 거슬러 올라간다. / 전설 중에는 특정한 풍속의 유래를 설명하는 것
이 많다."
0728,DAY 25,일반화,일반화,一般化,"한 일, 가지, 반, 될 화",2002수능,명사,"(1) 개별적인 것이나 특수한 것이 일반적인 것으로 됨. 또는 그렇게 만듦.
¶ 여러 현상의 일반화를 유도하다.
(2) {심리} 어떤 특정한 자극에 대한 반응이 형성된 뒤에, 그 자극과 다소 다른 자극을 주어
도 동일한 반응이 나타남. 또는 그런 일. ≒ 범화(汎化)."
0729,DAY 25,기성,기성08,旣成,"이미 기, 이룰 성",2002수능,명사,"(1) 이미 이루어짐. 또는 그런 것.
¶ 기성 체제 / 젊은이들은 기성의 문화를 거부했다.
(2) 신주를 만듦. 또는 그런 일."
0730,DAY 25,도입,도입,導入,"인도할 도, 들 입",2002수능,명사,"(1) 기술, 방법, 물자 따위를 끌어 들임.
¶ 차관 도입 / 첨단 장비의 도입 / 새로운 이론의 도입으로 학문이 발전하다. /
삼국 시대의 건축술은 불교의 도입과 함께 발전을 이루었다.
(2) {교육} 단원 학습에서 본격적인 수업에 들어가기 전의 첫 단계. 학습 동기의 유발, 앞선
학습과의 연계, 학습자의 진단, 문제의 제기, 교사와 학생 간의 학습 계획 따위
를 포함한다."
